Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
NCY06,OUT035,2082.5770773217496
FDE52,OUT035,1527.9756293629266
NCB54,OUT045,2048.4248775233414
NCF31,OUT035,2421.6602178026833
FDJ08,OUT027,4850.862615882781
NCC07,OUT017,1758.182214574363
NCD19,OUT027,1621.221017781352
FDL46,OUT049,1894.7243423755049
FDM20,OUT045,3741.936399134342
NCI06,OUT010,1677.024161048316
DRM11,OUT035,3930.11726478084
NCH07,OUT018,2530.06955903001
FDS23,OUT013,2105.406549226598
FDO49,OUT018,923.1105172564087
FDS35,OUT049,1182.7090120927533
DRK39,OUT045,1413.1645221651395
DRI39,OUT049,1091.4279219469297
FDV04,OUT017,2507.967394563171
NCN14,OUT035,2837.6565925238933
FDH08,OUT013,3680.50668255004
FDS20,OUT046,2684.1005313645533
FDV40,OUT049,1316.5592086501342
FDZ48,OUT010,669.6413521063464
FDS24,OUT027,2423.507610067427
FDK44,OUT049,2662.176156583742
FDS48,OUT045,2385.3316712952947
FDK26,OUT010,1117.8548148915906
FDD23,OUT045,2924.158146100345
NCH54,OUT017,2565.4529893179624
NCP14,OUT010,702.981764053708
FDM60,OUT010,214.6718983167018
FDV24,OUT017,2402.866096845074
FDH08,OUT018,3402.6631465171145
FDS12,OUT027,3375.2536175983196
FDR39,OUT027,4633.483075574525
FDP12,OUT027,1211.0790054951824
DRF60,OUT027,5959.005835115016
FDC09,OUT035,1714.4589186561961
FDF50,OUT018,2779.6071447913214
FDG28,OUT035,3720.0379584184902
NCE19,OUT017,1047.5281932137018
NCM53,OUT010,508.07865940647844
NCN18,OUT049,1801.6245434380921
FDF32,OUT035,3083.0063422799385
FDF11,OUT013,3816.098366092277
DRI59,OUT049,3353.9440892501952
NCG54,OUT035,2666.317210188588
FDM44,OUT046,1614.51040080036
FDT57,OUT018,3623.204512760673
FDV24,OUT046,2252.8893793216707
FDI50,OUT019,1141.3408752780686
FDS09,OUT035,979.6322982156596
NCC31,OUT027,4015.39711610749
FDQ07,OUT019,1088.764778798511
FDC22,OUT017,2987.8118295316654
FDZ56,OUT046,2504.7192021813735
FDZ40,OUT019,101.10388056658985
FDS46,OUT027,3155.438013236542
DRD24,OUT045,2247.279345844307
FDV45,OUT017,2954.904211339497
FDL26,OUT045,2453.1206962661763
FDA56,OUT018,1951.582794115528
FDN27,OUT046,1812.2989703838678
FDM20,OUT049,3623.8040343014773
FDO16,OUT017,1424.4042670864942
FDL03,OUT035,3022.4879403189825
FDE58,OUT046,1808.346988401619
FDI02,OUT027,3009.226683396422
NCC55,OUT019,11.110323233499003
FDR03,OUT018,3167.390746654554
FDB14,OUT017,1562.3900726490365
FDR45,OUT013,3839.597596605715
NCN07,OUT017,2104.7315176616144
FDM51,OUT019,390.24130675097285
FDT52,OUT027,6159.826787987335
FDL26,OUT046,2301.1683326734883
NCZ42,OUT046,3423.4867982274686
DRI47,OUT019,649.5172615549461
FDW40,OUT013,2307.0290361400876
FDN34,OUT046,2504.415299939084
FDS01,OUT035,2791.9390815981833
NCG55,OUT045,1897.5350150028253
FDC11,OUT035,1478.257518150633
FDX35,OUT018,3193.6740383911247
NCB06,OUT046,2382.834497518019
FDR09,OUT019,1333.1177740255757
FDC53,OUT017,1638.4258019854142
FDY45,OUT013,4052.833274756028
FDA22,OUT010,1235.7774432402875
FDE02,OUT035,1605.685300793441
FDW21,OUT045,1665.0666992639958
FDV34,OUT046,1247.1817425686181
FDS59,OUT049,1780.7178090142002
NCW17,OUT017,2076.271280166844
NCK54,OUT046,1822.6509522073384
FDG17,OUT019,1239.519689098671
FDG35,OUT017,2705.829016488876
FDD08,OUT010,3.6168474755904754
NCO07,OUT017,3270.126593066735
FDJ10,OUT010,594.3444919297121
FDW36,OUT017,1744.9192258334983
FDW21,OUT010,218.12417960990933
FDY19,OUT017,1928.0658895527952
DRE03,OUT013,844.351670846881
NCC55,OUT049,817.5173082463693
FDH52,OUT010,373.6083450597057
FDO09,OUT017,4038.8277644857853
FDU43,OUT045,3633.2523141514994
FDX09,OUT010,1476.2879814504179
FDH40,OUT019,275.7541888617138
FDW58,OUT017,1728.8560667402976
FDC47,OUT017,3502.933652289986
NCR41,OUT035,1589.618514198203
DRG49,OUT035,3727.6318498303663
FDC52,OUT027,3960.16066957614
FDY13,OUT046,1261.134228086535
FDY35,OUT013,805.9796987630907
FDI35,OUT017,2854.500869132184
NCU18,OUT049,2218.573581218688
FDY33,OUT018,2514.309650711696
FDC15,OUT027,4085.003016490617
FDU01,OUT049,2812.0946024339473
NCU42,OUT046,2506.995469577952
NCV29,OUT018,2805.0258361522306
NCY30,OUT017,2851.3999041482966
FDQ46,OUT049,1813.575778739589
FDG58,OUT027,3996.40246461803
FDK33,OUT017,3295.456340881423
NCD07,OUT045,1889.412735692598
NCX29,OUT027,3773.523972703577
NCT42,OUT013,2401.467763124445
DRN59,OUT035,907.5498718758975
FDI44,OUT035,1376.2593645485072
FDA45,OUT049,2694.4255625424657
FDP31,OUT045,1161.5421727654114
FDY01,OUT046,1795.727441949949
FDT09,OUT018,2126.9174322773147
DRH03,OUT027,2595.8983183228956
FDA36,OUT018,2693.306545489904
NCF31,OUT017,2445.7526232269565
FDG14,OUT049,2349.566803974865
FDG28,OUT027,6174.072776604429
FDU14,OUT049,3687.481839301245
FDY47,OUT019,562.8925557665539
FDI56,OUT049,1517.8076973741154
DRD01,OUT013,1005.1776749744595
FDM22,OUT046,1001.2583866004611
FDH33,OUT013,786.7233660383458
DRZ24,OUT013,1948.8229779296184
NCQ38,OUT046,1660.2820931236606
FDO16,OUT027,2339.7791863018865
FDU07,OUT027,3888.11870513949
NCB07,OUT013,3112.6697467383883
FDU48,OUT045,2114.2529472792457
NCM43,OUT045,2593.9433351398557
FDR31,OUT010,850.3295306221489
DRK49,OUT018,819.9001033933
NCI30,OUT010,1650.4867075331563
DRD60,OUT017,2843.3821379564497
NCG19,OUT046,3358.36734198939
FDH12,OUT035,1746.4806792235945
FDM32,OUT035,1538.8959047971716
FDM27,OUT035,2475.690647155374
NCU53,OUT027,4281.01357387323
NCQ18,OUT046,1581.9261108667206
FDS10,OUT013,2876.259259732127
FDB33,OUT027,4082.566952437094
FDI12,OUT013,1453.8164996469698
NCW42,OUT013,3530.895639637349
NCC06,OUT018,1881.3342106017585
FDW02,OUT017,2035.4112577519425
NCD43,OUT017,1743.9418625693772
FDM57,OUT018,1432.0684657757652
FDA58,OUT017,3638.3869893928622
FDK56,OUT046,2714.562603173226
FDP52,OUT045,3519.1103423674244
FDW20,OUT018,1676.1037244317827
FDS52,OUT049,1658.3717099289793
NCT29,OUT018,1971.773743802962
NCL54,OUT013,2852.1628162645948
FDC05,OUT045,3064.9600973036263
FDF34,OUT035,3050.461307678819
FDP03,OUT027,3299.3367442578196
FDD32,OUT010,396.52412850346377
FDZ10,OUT045,2052.6206985757194
FDZ40,OUT035,1021.3734565161085
FDD51,OUT018,856.9369022219612
NCY30,OUT019,852.8016116548895
FDP58,OUT017,3370.817842223609
FDV49,OUT017,4031.2614102680946
FDY24,OUT019,92.13144214853537
NCO55,OUT017,1790.4578611742725
FDR13,OUT017,1922.7233764145649
FDS51,OUT017,1145.3563722249557
FDP26,OUT045,1730.7213697155346
NCB54,OUT027,3413.181187959899
FDF32,OUT017,3070.009331660923
FDN31,OUT018,2967.933087437858
DRM48,OUT017,773.0510613990618
FDN20,OUT049,2579.759225974741
DRL01,OUT046,3333.6054906726818
FDV56,OUT049,1752.4677007277755
DRH13,OUT027,2902.5669666202302
FDA03,OUT017,2327.193276706857
FDF47,OUT027,5660.272202477403
FDX32,OUT046,2206.020120110764
FDX57,OUT049,1603.3239785094443
NCA30,OUT045,2942.1771651943272
FDO49,OUT013,893.6975152998411
FDL04,OUT019,407.5569165726961
DRM48,OUT035,784.6642904172688
FDR16,OUT013,3384.847535493387
NCC19,OUT018,2821.220552961502
NCE42,OUT045,3567.932846825731
FDY24,OUT017,1023.0009798766991
FDH19,OUT049,2666.988666570736
FDJ46,OUT013,2802.088077090976
FDN45,OUT010,1603.2356279243793
FDY08,OUT035,2242.920770414789
FDZ37,OUT035,1480.7876398498884
NCT30,OUT045,921.6348878737356
DRY23,OUT018,783.3328469496478
NCZ30,OUT018,1794.5639152853746
FDC44,OUT018,1831.5915451237688
FDB45,OUT035,1720.9997400174243
FDY04,OUT013,2637.692703110459
FDM27,OUT046,2371.4601062421625
FDZ43,OUT017,3703.4006801383875
FDT39,OUT019,680.1659148659
NCC06,OUT019,536.5889553001839
FDL15,OUT027,3990.9652456291724
FDL57,OUT017,3934.8066400538064
FDU08,OUT046,1577.0445153894798
FDK40,OUT017,4019.3209535265933
FDQ12,OUT010,2198.340141268307
FDS48,OUT017,2416.2232404427473
FDP09,OUT045,3243.4621096443107
FDW21,OUT049,1626.0254800763305
FDY25,OUT035,2830.981525639884
DRE13,OUT017,1466.6781053803534
FDV43,OUT019,33.98286324880473
FDD22,OUT045,1836.1454000464064
FDM46,OUT019,333.084481377718
NCO30,OUT010,1172.8848681896934
FDM25,OUT046,2565.969926685313
NCN41,OUT049,1961.980225671168
FDU24,OUT045,1565.0864266262288
FDZ50,OUT046,2698.882405876668
FDP45,OUT013,3999.8830632800064
NCM54,OUT045,2034.2412022768065
FDW10,OUT019,827.3162975722462
FDP20,OUT017,2068.276551767542
FDK32,OUT046,2264.0581390499965
FDN52,OUT049,1487.4844708307337
FDM58,OUT045,1822.7417736637253
FDZ46,OUT027,2976.0477759072073
NCA18,OUT018,1895.9018411588659
FDD35,OUT046,1883.5956358496828
NCK31,OUT035,958.8844164362292
FDI40,OUT027,2731.8003010671105
FDT50,OUT019,363.3706481765821
NCT06,OUT046,2442.2834336883448
FDT31,OUT035,2910.3229092951915
FDT45,OUT049,1017.838131597857
FDT13,OUT045,2905.286805195551
FDO50,OUT045,1539.831396066472
NCU18,OUT010,1224.4929152065126
NCR54,OUT049,2944.313305006222
NCO18,OUT018,2816.981595112382
FDU09,OUT045,1043.961260203731
FDT13,OUT018,2926.696704817403
FDE09,OUT046,1751.6716652786722
NCK53,OUT019,383.28347983905155
FDG45,OUT049,3188.3646023043657
DRH15,OUT035,891.7733920549492
FDO21,OUT019,1118.6418024055122
FDD14,OUT027,4718.897274659756
FDC09,OUT046,1629.3490433595848
FDH45,OUT027,1372.348345303572
FDV32,OUT046,1127.568500373035
FDG12,OUT035,1937.1931200959837
FDS32,OUT013,2283.3874705710737
NCL55,OUT018,3872.9147693332216
DRE01,OUT035,3716.5808828117542
DRE15,OUT049,1345.641505483022
NCL42,OUT045,3742.6086271930976
FDP31,OUT013,1096.8297460625165
FDN33,OUT018,1367.0703259129564
FDZ59,OUT046,2437.088583265805
FDE45,OUT010,1674.64170725116
FDJ07,OUT013,1947.361744414734
FDQ45,OUT018,2851.832298673937
FDM33,OUT027,5548.802090211506
FDO15,OUT010,426.3470032997998
FDM46,OUT013,1549.5723637562583
FDR03,OUT045,3167.057280810076
FDY49,OUT018,2535.2641797748565
FDQ60,OUT045,1923.952558974473
FDW10,OUT049,2666.218209656937
FDO51,OUT049,893.9673960570528
FDJ40,OUT018,1807.2844086820191
FDS20,OUT018,2794.4233548155357
FDU45,OUT013,1863.0514260859784
FDV02,OUT035,2659.2911698902585
FDN09,OUT046,3468.6405348407284
NCM55,OUT027,4777.443539213144
FDN23,OUT018,2125.755145568109
FDY31,OUT010,780.7045420991535
FDW03,OUT010,326.16715060234174
FDD14,OUT046,2672.1595126149223
FDV23,OUT017,2053.7389024428035
DRI03,OUT045,2729.577847234743
FDN13,OUT035,1656.7570784155978
FDF45,OUT027,1764.3694600687963
FDU46,OUT035,1498.0055989900848
FDB57,OUT049,3299.1808451046727
FDV12,OUT049,1647.47146331297
FDQ58,OUT013,2450.528548338036
NCA18,OUT017,1913.1149520233816
FDH52,OUT049,1129.193056330098
FDM24,OUT018,2174.7246208539855
NCP43,OUT027,4646.228486723952
NCO18,OUT019,834.085105114827
FDM32,OUT017,1540.6501745985524
NCL07,OUT017,801.3732278914531
FDK03,OUT013,4030.1293490743133
FDP59,OUT017,1696.9188988804926
FDQ24,OUT049,3699.990277017888
FDQ16,OUT018,1554.4533103609729
FDU44,OUT013,2606.874305323235
FDH28,OUT010,128.02959736359298
FDV28,OUT019,-8.204345867768097
FDM22,OUT045,1017.5655413562217
FDR56,OUT046,2858.2961533266516
FDV39,OUT049,2971.7922664496277
FDU37,OUT019,260.0129429010781
FDQ11,OUT010,1870.594906963543
FDX02,OUT045,3419.289953503104
NCS42,OUT018,1485.5185321476406
FDY57,OUT027,2592.6502329181976
FDB21,OUT049,3574.3667214051275
FDE28,OUT017,3538.3085926607873
FDQ55,OUT017,1877.085637357957
FDA48,OUT049,3322.1230040545543
FDZ19,OUT045,2712.4848342053515
NCC43,OUT045,3822.425286492693
NCV18,OUT046,1345.91676723218
NCA42,OUT018,2359.896709422564
FDY45,OUT046,3646.3511209982357
NCC30,OUT045,2784.134852949006
FDM57,OUT013,1449.625719394017
FDL09,OUT010,970.0406158310359
FDB09,OUT027,3308.022048651375
FDT44,OUT035,1940.9394512288864
NCT06,OUT027,4245.3986023304915
FDX26,OUT049,2780.318349895397
FDK32,OUT013,2485.9475354810825
DRA12,OUT046,2160.703797646993
FDO46,OUT010,1658.19121959551
FDE52,OUT013,1467.540341853717
NCH42,OUT045,3505.6328585689143
FDV08,OUT035,844.563927704384
FDB47,OUT018,3204.1254203452054
FDC28,OUT010,701.5484453898061
FDD22,OUT046,1774.660822350681
FDS07,OUT027,3081.206915215731
DRI13,OUT045,3327.24087032177
FDG32,OUT018,3185.1532766080663
FDU14,OUT017,3824.333302671607
FDD28,OUT019,130.17817001645562
NCP41,OUT017,1818.9260850408807
FDS08,OUT049,2659.606641360522
FDX47,OUT045,2474.307141079538
FDC53,OUT019,379.3009135065581
FDQ19,OUT035,3674.8547252027215
FDL14,OUT045,2442.857413984465
FDM33,OUT019,1101.5307641797199
FDA51,OUT045,1852.3804824220347
FDZ27,OUT018,816.2160833941703
FDT04,OUT046,815.8073053497685
DRC13,OUT049,1987.3702889154258
FDR16,OUT027,5442.954394786488
FDQ03,OUT027,5953.506883508817
FDE38,OUT035,2628.6098066259524
DRH23,OUT027,1699.5739551753747
FDT11,OUT019,901.5997133978847
FDD09,OUT035,2811.02367661863
FDR40,OUT045,1411.901961043836
FDX07,OUT017,2865.0730517850734
FDR07,OUT035,1609.7356111630443
FDA51,OUT017,1883.7081782852451
FDT59,OUT019,1155.8857961162967
FDF20,OUT017,3045.161202642028
FDR13,OUT045,1879.808951648127
FDY26,OUT049,3132.338053949323
FDW04,OUT017,2108.855479541298
FDK52,OUT017,3488.847912688175
FDN60,OUT049,2431.8258368074394
FDM09,OUT019,800.650210593787
FDP46,OUT049,1491.040790939631
FDB50,OUT019,252.25238183202146
NCQ29,OUT049,3813.665258216341
FDP16,OUT027,6170.886423817072
FDX33,OUT018,2503.1057338114197
FDP07,OUT010,1478.1778177908948
FDN22,OUT046,3573.217824755495
FDF39,OUT049,3851.0804747273623
FDS21,OUT017,1109.1088450049779
NCM42,OUT013,1770.1026501010087
FDK50,OUT019,756.4483899710806
DRF13,OUT027,3833.6942799593144
FDH35,OUT018,2441.6603518744014
FDP60,OUT018,1558.4774624970753
DRJ49,OUT027,3435.300459619376
NCT42,OUT019,665.8255656236031
FDE38,OUT049,2563.3960586792723
FDI04,OUT049,2996.5861216365743
NCH54,OUT045,2492.3909853942682
FDT56,OUT049,1096.62109348409
DRD15,OUT018,3577.5907443026854
FDV58,OUT013,3094.006507538971
FDP21,OUT049,2830.3562111417605
FDH05,OUT013,3715.01625705916
FDR10,OUT027,4180.6030974370715
NCP06,OUT045,2350.4457780570037
FDF33,OUT049,1737.8655453330389
DRK37,OUT013,3012.113624933189
DRH49,OUT045,1431.8732908787272
FDT58,OUT013,2707.154754375666
FDD41,OUT018,1554.3795191181234
FDP40,OUT018,1471.1876287024334
FDM51,OUT027,2758.668235598952
FDO45,OUT010,736.8612816113271
FDW33,OUT010,810.2131965500062
FDY24,OUT045,1000.6395790304393
FDB10,OUT010,2194.705101254288
FDM40,OUT035,2269.1527512220946
NCI06,OUT017,2841.602795334518
FDW12,OUT019,637.1448671390096
FDX48,OUT027,4021.769821682204
NCW05,OUT027,2887.508956651961
FDX27,OUT017,1596.093977298168
DRM37,OUT045,3062.5618496690254
FDA38,OUT045,3660.0656581644216
FDR36,OUT046,794.2877246948497
FDZ45,OUT046,2896.3132534312717
FDG05,OUT017,2521.4314211189308
FDK28,OUT013,4094.9721205080027
FDV47,OUT045,1463.433607446775
FDN21,OUT045,2517.7675379538437
FDP20,OUT027,3364.9442705024153
FDI35,OUT045,2830.368793689611
DRY23,OUT013,799.3588790945755
FDA56,OUT017,2008.201312685948
FDB09,OUT013,2026.881509955685
NCO26,OUT027,3131.006142758223
FDQ49,OUT018,2195.055952984271
FDI52,OUT027,3251.099826800336
FDZ44,OUT027,3134.1307629282396
FDZ09,OUT018,2485.209954623384
FDY03,OUT049,1827.6741319010634
NCG42,OUT017,2100.338447214396
DRI13,OUT027,5521.995888297006
FDQ32,OUT013,2059.444635819883
FDW16,OUT035,1542.5842896986785
FDU27,OUT046,886.6617936745795
FDR28,OUT010,1504.2743414482293
FDQ49,OUT010,774.7087794239387
FDS37,OUT046,1799.8685313585518
FDW26,OUT018,3425.0873555147073
FDX12,OUT018,3562.417014289915
NCP06,OUT013,2432.1817489318637
FDW45,OUT010,992.1224577147439
NCN30,OUT049,1579.2154522832068
FDN24,OUT049,1020.6181785532908
NCL41,OUT027,1124.0407637076028
FDR02,OUT019,433.43582162061216
FDD09,OUT010,1697.5698267043165
FDS33,OUT010,290.789175029769
FDU22,OUT045,1950.012592656787
FDI53,OUT013,2630.6656327333185
DRH01,OUT049,2678.4479217357784
FDX32,OUT013,2333.237200180713
NCP30,OUT018,478.3715977699794
FDB60,OUT045,3027.503857491367
FDB14,OUT049,1548.6576513491377
NCP02,OUT035,1071.2239034100885
FDJ10,OUT017,2244.1849488793036
FDG34,OUT046,1734.18232349914
NCB18,OUT017,1497.6978806860793
FDM16,OUT049,1301.064229758976
FDW25,OUT018,1144.4499002815824
FDB35,OUT010,787.5188006819444
DRN11,OUT013,2331.1554038228583
FDF41,OUT019,1263.4306393202262
FDH16,OUT045,1502.9045110077636
NCQ50,OUT018,3113.3479175917364
DRH23,OUT018,1043.00015875323
DRJ37,OUT013,2471.176984922403
DRJ24,OUT027,4732.331241925675
FDY16,OUT035,2853.115560350792
FDQ27,OUT045,1726.1324205936992
FDZ33,OUT045,2358.8434104598973
FDF29,OUT045,2114.135214491745
FDA08,OUT049,2514.9269429932574
FDG31,OUT046,1137.6005834123655
FDE34,OUT019,875.3272173846972
NCR30,OUT027,2096.2820001956234
FDV33,OUT035,3922.8327181642458
DRZ24,OUT018,1831.6860685750758
NCL54,OUT035,2723.2237734259497
FDR12,OUT049,2647.1600067284544
NCC54,OUT046,3455.6934624310734
DRN59,OUT013,841.1922878805735
FDX50,OUT019,438.4256937061725
FDV31,OUT027,4581.432981830532
NCA29,OUT027,4447.843597905158
FDW60,OUT049,2682.5777092919952
FDX08,OUT017,2864.6282126712226
DRD49,OUT013,3769.4678501616936
FDD33,OUT046,3324.3001671656584
FDW35,OUT013,785.241252943933
FDJ36,OUT017,1728.498422072368
FDV51,OUT035,2617.3453818218827
FDW36,OUT046,1680.3525326901108
FDH35,OUT046,2444.4594050357505
NCS30,OUT027,3454.295111108836
FDN49,OUT017,798.8925696814406
FDL08,OUT018,3779.6823610095616
FDI09,OUT013,3805.4199442902577
FDP19,OUT018,2103.38465662247
FDU21,OUT010,184.29543790496746
NCP41,OUT045,1775.3270796195106
FDY10,OUT013,1860.1578440257313
FDP12,OUT018,715.6292343182172
NCN26,OUT049,1875.054901480532
FDK44,OUT013,2814.0866914144985
FDC28,OUT049,1773.8345211767264
FDJ41,OUT027,6595.397889955018
NCT29,OUT035,2012.985049058267
NCH42,OUT019,1144.7252790493587
FDU60,OUT018,2364.103581047088
FDS02,OUT045,2990.5891731636575
FDC51,OUT046,1898.7503528143784
FDU03,OUT013,2932.2010982534707
FDX39,OUT045,3255.2066257701717
NCY05,OUT010,223.34473599298917
NCL06,OUT027,6517.044952560996
FDD32,OUT035,1385.7121011088211
NCN41,OUT045,1988.395137806694
NCX53,OUT049,2202.3763009904337
FDU57,OUT019,674.9870234109983
FDQ23,OUT046,1636.0437657209495
FDQ52,OUT045,3778.109489816461
FDC14,OUT045,822.5810446027879
FDY09,OUT035,2767.1969957948218
FDQ28,OUT045,2471.8062506528213
FDV25,OUT046,3173.702935830096
FDJ07,OUT035,1898.5473522104287
DRB25,OUT049,1740.6277512026736
FDK52,OUT019,1126.8115066664316
FDY52,OUT027,1844.2229749304865
FDB28,OUT046,2871.400459533689
FDT36,OUT035,769.7742682080241
FDV25,OUT017,3415.5623998848932
NCN07,OUT027,3441.5496999594084
FDC57,OUT017,3000.4401584012903
FDQ03,OUT018,3635.718046977735
FDU23,OUT017,2645.902965029597
NCX41,OUT035,3265.4538117586853
NCD06,OUT035,920.7400287327459
FDW08,OUT045,1767.3114213696103
NCU29,OUT017,2322.5578655781965
NCE06,OUT013,2595.6654976813443
FDV52,OUT010,267.4098849726338
FDB02,OUT017,2778.766420995575
NCR18,OUT045,859.4497839218745
FDK16,OUT049,1577.489415323508
NCQ29,OUT010,2495.231560055417
FDZ01,OUT019,397.6082768547574
FDW27,OUT035,2472.7661598053014
FDD17,OUT018,3533.752541122233
FDW39,OUT013,2840.0831432744662
DRH59,OUT045,1283.0025977673104
FDS52,OUT013,1695.690961752658
FDU40,OUT027,4980.577090904304
NCF54,OUT013,2796.810658383079
FDH46,OUT045,1700.667401036504
NCP14,OUT049,1700.4379115495822
FDH50,OUT049,2812.9495474236273
DRF15,OUT010,1029.3195438767202
FDV27,OUT027,2421.1332786312446
NCJ06,OUT049,1912.7534919706313
FDN02,OUT018,3132.695392288585
FDQ51,OUT049,920.8048513964825
FDQ07,OUT017,3438.183156500112
FDS45,OUT049,1708.327480221355
NCJ06,OUT045,1953.1424045414597
FDD36,OUT035,1922.8941591528842
FDY25,OUT045,2842.616720013608
FDU52,OUT046,2310.5480129236685
DRK47,OUT017,3493.931150799215
NCL30,OUT017,2083.5248961962334
FDN22,OUT035,3824.0157275043066
NCF30,OUT027,3342.012977491764
FDK03,OUT035,3899.2343353241813
FDT45,OUT017,1043.1869940641038
